objectid,title,attribution,classification,iiifthumburl
0,Saint James Major,Grifo di Tancredi,Painting,"https://api.nga.gov/iiif/7b170a4c-9d44-475c-b294-cee6f43d88af/full/!200,200/0/default.jpg"
1,Saint Paul and a Group of Worshippers,Bernardo Daddi,Painting,"https://api.nga.gov/iiif/7bbcfd01-e774-46e7-96d1-a3b03598cd8a/full/!200,200/0/default.jpg"
4,Saint Bernard and Saint Catherine of Alexandria with the Virgin of the Annunciation [right panel],Agnolo Gaddi,Painting,"https://api.nga.gov/iiif/e6890364-4d99-4684-a62b-5060ee3c3446/full/!200,200/0/default.jpg"
17,Matteo Olivieri (?),Florentine 15th Century,Painting,"https://api.nga.gov/iiif/8913742c-6155-4956-b6b8-2c08d74e220d/full/!200,200/0/default.jpg"
19,Portrait of a Man,Andrea del Castagno,Painting,"https://api.nga.gov/iiif/a21cc457-7ddf-4c4d-9934-8039bc919864/full/!200,200/0/default.jpg"
25,Profile Portrait of a Lady,Franco-Flemish 15th Century,Painting,"https://api.nga.gov/iiif/82e62b74-1316-4ed3-9bf2-504e3939edec/full/!200,200/0/default.jpg"
29,"The Crucifixion with the Virgin, Saint John, Saint Jerome, and Saint Mary Magdalene [left panel]",Pietro Perugino,Painting,"https://api.nga.gov/iiif/b43e331e-ede9-44ca-a276-0b8806630fbd/full/!200,200/0/default.jpg"
30,"The Crucifixion with the Virgin, Saint John, Saint Jerome, and Saint Mary Magdalene [middle panel]",Pietro Perugino,Painting,"https://api.nga.gov/iiif/63049d6b-06b2-4e4b-9443-532df5b30fa7/full/!200,200/0/default.jpg"
38,Portrait of a Young Man,Attributed to Antonello da Messina,Painting,"https://api.nga.gov/iiif/8297c11b-591d-4b1e-832b-ee2bb9bec53e/full/!200,200/0/default.jpg"
58,"Henry, Duke of Gloucester",Adriaen Hanneman,Painting,"https://api.nga.gov/iiif/51c903d0-02a1-404b-bf92-1e3942c02fef/full/!200,200/0/default.jpg"
49,Portrait of a Man with an Arrow,Hans Memling,Painting,"https://api.nga.gov/iiif/8835af10-db33-41e3-8684-4fc3117c2a15/full/!200,200/0/default.jpg"
59,Portrait of a Gentleman,Antonis Mor,Painting,"https://api.nga.gov/iiif/2b2c95ba-68bc-4a33-a23e-878bc480e874/full/!200,200/0/default.jpg"
616,The Virgin Surrounded by Many Angels,Albrecht Dürer,Print,"https://api.nga.gov/iiif/67520247-3225-43a2-a40a-83adee2db1b1/full/!200,200/0/default.jpg"
52,Christ Appearing to the Virgin,Follower of Rogier van der Weyden,Painting,"https://api.nga.gov/iiif/89d562d2-a933-4218-bb2a-2e0f325af98b/full/!200,200/0/default.jpg"
61,The Lacemaker,Imitator of Johannes Vermeer,Painting,"https://api.nga.gov/iiif/b386f7e0-cacb-495a-9eef-3c96f5a6ce14/full/!200,200/0/default.jpg"
62,The Smiling Girl,Imitator of Johannes Vermeer,Painting,"https://api.nga.gov/iiif/53b11b32-8e95-41d4-bb53-a55931823419/full/!200,200/0/default.jpg"
72,Sir Brian Tuke,Hans Holbein the Younger,Painting,"https://api.nga.gov/iiif/7c06df7a-06da-47fc-93e4-fc35ff83fc50/full/!200,200/0/default.jpg"
509,Scene from Ancient History,Giovanni Battista Tiepolo,Painting,"https://api.nga.gov/iiif/ce14cdf4-fedc-4229-bb08-7f50d89f3871/full/!200,200/0/default.jpg"
77,Adriaen van Ostade,Frans Hals,Painting,"https://api.nga.gov/iiif/2a84e43d-2935-48b3-a4e2-7a3e4fc53580/full/!200,200/0/default.jpg"
80,An Old Lady with a Book,Rembrandt van Rijn and Workshop,Painting,"https://api.nga.gov/iiif/d11ecc48-9cf8-482f-bf63-8ec3238816ef/full/!200,200/0/default.jpg"
87,Pope Innocent X,Circle of Diego Velázquez,Painting,"https://api.nga.gov/iiif/da9c1054-627f-4caf-bbdc-4faf97a779a8/full/!200,200/0/default.jpg"
